ID,DEPARTAMENTO,REFERENCIA,DESCRIPCION,VIA AFECTADA,FECHA,LONG,LAT,EVENTO,FUENTE,HubName,HubDist,cod_tramo,codigo_via,pr_inicial,dist_ini,pr_finl,dist_fin,territoria,tramo,sector,administra,ruta,length_km,corrlog
"0",CAUCA,PIENDAMO,INCUMPLIMIENTO ACUERDOS,CALI - POPAYAN,2023/08/01,-76.535475,2.640985,Manifestación de personas,COLFECAR,"349",11070.2245721159,2602A0,2602A,"0",0,"42",0,"08",Alternas a la Troncal de Occidente,Piendamó - Totoró,"1",,42.3627629297332,
"1",LA GUAJIRA,KM 5+500,PDT,RIOHACHA - PARAGUACHON,2023/08/01,-72.816669,11.515766,Manifestación de personas,COLFECAR,"125",34251.3852656752,"90100","9010","0",0,"88",0,"13",Transversal del Caribe,Riohacha - Paraguachón,"2",,87.5749326388281,3. Bogotá-B/quilla
"2",NARIÑO,RICAURTE,PDT,PASTO - TUMACO,2023/08/01,-77.988737,1.20761,Manifestación de personas,COLFECAR,"553",12968.4351323012,"10020","1002","0",0,"95",0,"17",Transversal Tumaco - Leticia,Junín - Tuquerres,"1",,94.2183986661445,1. Bogotá-B/ventura-Ipiales
"3",SANTANDER,KM 6,PDT,LA LIZAMA - SAN ALBERTO,2023/08/01,-73.550762,7.3653,Manifestación de personas,COLFECAR,"513",10206.5874961079,"45130","4513","0",0,"90",748,"22",Troncal del Magdalena,La Lizama -San Alberto,"1",,102.661756717652,3. Bogotá-B/quilla
"4",LA GUAJIRA,KM 5+500,PDT,RIOHACHA - PARAGUACHON,2023/08/02,-72.807982,11.513651,Manifestación de personas,COLFECAR,"125",33275.4897339902,"90100","9010","0",0,"88",0,"13",Transversal del Caribe,Riohacha - Paraguachón,"2",,87.5749326388281,3. Bogotá-B/quilla
"5",CAUCA,PIENDAMO,INCUMPLIMIENTO ACUERDOS,CALI - POPAYAN,2023/08/02,-76.533179,2.638928,Manifestación de personas,COLFECAR,"349",10728.413274963,2602A0,2602A,"0",0,"42",0,"08",Alternas a la Troncal de Occidente,Piendamó - Totoró,"1",,42.3627629297332,
"6",NARIÑO,RICAURTE,PDT,PASTO - TUMACO,2023/08/02,-78.008041,1.220024,Manifestación de personas,COLFECAR,"553",15363.5414431328,"10020","1002","0",0,"95",0,"17",Transversal Tumaco - Leticia,Junín - Tuquerres,"1",,94.2183986661445,1. Bogotá-B/ventura-Ipiales
"7",SANTANDER,KM 6,PDT,LA LIZAMA - SAN ALBERTO,2023/08/02,-73.559859,7.315082,Manifestación de personas,COLFECAR,"513",15678.5304035658,"45130","4513","0",0,"90",748,"22",Troncal del Magdalena,La Lizama -San Alberto,"1",,102.661756717652,3. Bogotá-B/quilla
"8",HUILA,GUACIRCO,PDT,NEIVA - CASTILLA,2023/08/02,-75.269499,2.991787,Manifestación de personas,COLFECAR,"61",32471.6375079172,"45060","4506","0",0,"83",100,"14",Troncal del Magdalena,Neiva - Natagaima,"2",,82.6886706421378,7. Bogotá-Puerto Asis
"9",SUCRE,EL FLORAL,PDT,SINCELEJO - TOLUVIEJO,2023/08/02,-75.436053,9.369028,Manifestación de personas,COLFECAR,"133",2033.53625246652,25SC010,25SC01,"0",0,"18",335,"23",Acceso a Sincelejo,Sincelejo - Toluviejo,"2",,35.6794582869366,2. Cali-Medellín-Cartagena
"10",LA GUAJIRA,KM 5+500,PDT,RIOHACHA - PARAGUACHON,2023/08/03,-72.75917,11.503693,Manifestación de personas,COLFECAR,"125",27838.306467048,"90100","9010","0",0,"88",0,"13",Transversal del Caribe,Riohacha - Paraguachón,"2",,87.5749326388281,3. Bogotá-B/quilla
"11",HUILA,GUACIRCO,PDT,NEIVA - CASTILLA,2023/08/03,-75.267649,2.994403,Manifestación de personas,COLFECAR,"61",32145.6693307498,"45060","4506","0",0,"83",100,"14",Troncal del Magdalena,Neiva - Natagaima,"2",,82.6886706421378,7. Bogotá-Puerto Asis
"12",CESAR,LOS BRASILES,PDT,SAB ROQUE - LA PAZ,2023/08/03,-73.49818,9.302616,Manifestación de personas,COLFECAR,"234",61613.5814288588,"49010","4901","0",0,"140",0,"09",Troncal del Carbon,San Roque - La Paz,"1",,145.846698154822,
"13",LA GUAJIRA,KM 5+500,PDT,RIOHACHA - PARAGUACHON,2023/08/04,-72.819613,11.516307,Manifestación de personas,COLFECAR,"125",34577.8804648214,"90100","9010","0",0,"88",0,"13",Transversal del Caribe,Riohacha - Paraguachón,"2",,87.5749326388281,3. Bogotá-B/quilla
"14",CÓRDOBA,VILLA CARIBE - KM 48,FALTA SERVICIO ENERGIA,PLANETA RICA - MONTERIA,2023/08/04,-75.567812,8.423679,Manifestación de personas,COLFECAR,"160",21757.9347805839,"25140","2514","0",0,"52",0,"11",Troncal de Occidente,Planeta Rica - La Ye,"1",,51.8175312474331,2. Cali-Medellín-Cartagena
"15",CUNDINAMARCA,KM 0 BOGOTA,GARANTIAS DE MOVILIDAD,BOGOTA - VILLAVICENCIO,2023/08/07,-74.089276,4.470179,Manifestación de personas,COLFECAR,"297",30992.3694564737,"40060","4006","0",0,"86",55,"12",Transversal Buenaventura - Villavicencio - Puerto Carreño,Bogotá (El Portal) - Villavicencio,"2",,93.7824205324289,6. Bogotá-Yopal
"16",ANTIOQUIA,GUARNE,PDT,MEDELLIN - SANTUARIO,2023/08/07,-75.442065,6.276422,Manifestación de personas,COLFECAR,"509",5983.2596107532,"60040","6004","0",0,"50",700,"01",Transversal Medellin - Bogotá,Medellín - Santuario,"2",,103.962146181724,
"17",VALLE DEL CAUCA,LA PAILA,PDT,ANDALUCIA - CERRITOS,2023/08/07,-76.072938,4.308454,Manifestación de personas,COLFECAR,"506",3844.01691641331,"25060","2506","0",0,"42",550,"25",Troncal de Occidente,Andalucía - La Paila -La Victoria,"3",,82.7737942485729,1. Bogotá-B/ventura-Ipiales
"18",BOLIVAR,CALAMAR,PDT,CARMEN DE BOLIVAR - CALAMAR,2023/08/08,-75.028332,10.159917,Manifestación de personas,COLFECAR,"601",3678.51371778918,"2515108","2515","108",250,"138",695,"02",Troncal de Occidente,Carreto - Calamar,"2",,30.9341338485872,3. Bogotá-B/quilla
"19",VALLE DEL CAUCA,BUGA - KM71,MAL ESTADO DE VIAS INTERNAS,CALI - ANDALUCIA,2023/08/08,-76.504027,3.50498,Manifestación de personas,COLFECAR,"374",3244.46819402689,"23010","2301","0",0,"12",0,"25",Alternas a la Troncal de Occidente,Cali - Yumbo,"2",,22.2844027737061,1. Bogotá-B/ventura-Ipiales
"20",BOLIVAR,SINCERIN,PDT,CRUZ DEL VISO - CARTAGENA,2023/08/08,-75.276505,10.142115,Manifestación de personas,COLFECAR,"484",15045.6512735512,"900559","9005","59",180,"99",500,"03",Transversal del Caribe,Cruz del Viso - Cartagena,"2",,67.948846500234,2. Cali-Medellín-Cartagena
"21",BOLIVAR,SAN JUAN NEPOMUCENO,FALTA SERVICIO ENERGIA,SINCELEJO - CALAMAR,2023/08/09,-75.085911,9.954909,Manifestación de personas,COLFECAR,"130",23928.6763672683,"251525","2515","25",0,"108",250,"03",Troncal de Occidente,Puerta de Hierro - Carreto,"2",,171.913103353296,3. Bogotá-B/quilla
"22",BOLIVAR,SINCERIN,PDT,CRUZ DEL VISO - CARTAGENA,2023/08/09,-75.274165,10.139301,Manifestación de personas,COLFECAR,"484",15446.6643444472,"900559","9005","59",180,"99",500,"03",Transversal del Caribe,Cruz del Viso - Cartagena,"2",,67.948846500234,2. Cali-Medellín-Cartagena
"23",ANTIOQUIA,SAN CRISTOBAL,PROTESTAS TAXISTAS,MEDELLIN - SANTA FE DE ANTIOQUIA,2023/08/09,-75.757698,6.464411,Manifestación de personas,COLFECAR,"609",13088.0943859231,"620416","6204","16",0,"71",0,"01",Troncal de Urabá,Puente Aurra - Medellín,"1","62",54.8963449541892,2. Cali-Medellín-Cartagena
"24",ANTIOQUIA,NIQUIA,PROTESTAS TAXISTAS,MEDELLIN - GIRARDOTA,2023/08/09,-75.490339,6.369598,Manifestación de personas,COLFECAR,"497",8294.1112958398,"25100","2510","0",0,"52",474,"01",Troncal de Occidente,Medellìn - Hoyo Rico,"3",,79.8199749677238,2. Cali-Medellín-Cartagena
"25",CUNDINAMARCA,FUNDADORES,PDT,BOGOTA - VILLAVICENCIO,2023/08/10,-73.99733,4.424042,Manifestación de personas,COLFECAR,"297",19909.830318963,"40060","4006","0",0,"86",55,"12",Transversal Buenaventura - Villavicencio - Puerto Carreño,Bogotá (El Portal) - Villavicencio,"2",,93.7824205324289,6. Bogotá-Yopal
"26",BOLIVAR,EL MANGO,MAL ESTADO DE VIAS INTERNAS,SN ONOFRE - CARTAGENA,2023/08/10,-75.28263,9.963656,Manifestación de personas,COLFECAR,"209",9524.10441813225,"900539","9005","39",0,"59",180,"03",Transversal del Caribe,María la Baja - Cruz del Viso,"2",,20.2889151548511,2. Cali-Medellín-Cartagena
"27",CESAR,CURUMANI,PDT,LA MATA - SAN ROQUE,2023/08/10,-73.528418,9.210119,Manifestación de personas,COLFECAR,"202",29956.1493464557,"45150","4515","0",0,"87",787,"09",Troncal del Magdalena,La Mata - San Roque,"1",,127.501233980747,3. Bogotá-B/quilla
"28",SUCRE,PALO ALTO,SOLICITAN REDUCTORES DE VELOCIDAD,MARIA LA BAJA - CRUZ DEL VISO,2023/08/10,-75.275385,9.972819,Manifestación de personas,COLFECAR,"209",8377.53800380103,"900539","9005","39",0,"59",180,"03",Transversal del Caribe,María la Baja - Cruz del Viso,"2",,20.2889151548511,2. Cali-Medellín-Cartagena
"29",CESAR,CURUMANI,PDT,LA MATA - SAN ROQUE,2023/08/11,-73.546973,9.19949,Manifestación de personas,COLFECAR,"202",28347.9188884859,"45150","4515","0",0,"87",787,"09",Troncal del Magdalena,La Mata - San Roque,"1",,127.501233980747,3. Bogotá-B/quilla
"30",LA GUAJIRA,KM 43,PDT,RIOHACHA - MAICAO,2023/08/11,-72.537961,11.444201,Manifestación de personas,COLFECAR,"125",3047.72367574146,"90100","9010","0",0,"88",0,"13",Transversal del Caribe,Riohacha - Paraguachón,"2",,87.5749326388281,3. Bogotá-B/quilla
"31",CESAR,PTE CANOA,PDT,SAN ROQUE - BOSCONIA,2023/08/11,-73.512103,9.297289,Manifestación de personas,COLFECAR,"190",42177.6137688725,"45160","4516","0",0,"87",965,"09",Troncal del Magdalena,San Roque - Bosconia,"2",,117.694792076671,3. Bogotá-B/quilla
"32",SUCRE,NUEVA ERA,FALTA DE COBERTURA DE CELULAR,LORICA - SAN ONOFRE,2023/08/11,-75.799653,9.317039,Manifestación de personas,COLFECAR,"152",4017.67443179364,"90045","9004","5",850,"23",300,"11",Transversal del Caribe,Lorica - Coveñas,"2",,16.9936210804091,2. Cali-Medellín-Cartagena
"33",TOLIMA,CASTILLA,PDT,CASTILLA - ESPINAL,2023/08/12,-73.773693,3.871233,Manifestación de personas,COLFECAR,"41",7140.34535526865,"65090","6509","0",0,"69",925,"16",Troncal Villagarzon - Saravena,Ye de Granada - Paso por el Puente sobre el Río Ocoa,"2",,70.0388963664719,6. Bogotá-Yopal
"34",CESAR,CURUMANI,PDT,LA MATA - SAN ROQUE,2023/08/13,-73.636745,8.599352,Manifestación de personas,COLFECAR,"496",46721.2220521031,"45140","4514","0",0,"99",923,"26",Troncal del Magdalena,San Alberto - La Mata,"1",,193.644707802524,3. Bogotá-B/quilla
"35",BOLIVAR,GAMBOTE,PDT,CRUZ DEL VISO - CARTAGENA,2023/08/14,-75.298176,10.16634,Manifestación de personas,COLFECAR,"484",11513.533579203,"900559","9005","59",180,"99",500,"03",Transversal del Caribe,Cruz del Viso - Cartagena,"2",,67.948846500234,2. Cali-Medellín-Cartagena
"36",HUILA,AIPE,PDT,NEIVA - CASTILLA,2023/08/14,-75.245028,3.224775,Manifestación de personas,COLFECAR,"61",7276.91927491803,"45060","4506","0",0,"83",100,"14",Troncal del Magdalena,Neiva - Natagaima,"2",,82.6886706421378,7. Bogotá-Puerto Asis
"37",LA GUAJIRA,PTE RIO CAÑAS,SECTOR ESTUDIANTIL,PALOMINO - RIOHACHA,2023/08/14,-73.403373,11.212035,Manifestación de personas,COLFECAR,"213",23848.3932539019,"90090","9009","0",0,"90",0,"13",Transversal del Caribe,Río Palomino - Riohacha,"2",,89.987311750988,3. Bogotá-B/quilla
"38",LA GUAJIRA,PUERTO BRISAS,PDT,PALOMINO - RIOHACHA,2023/08/14,-73.55942,11.244447,Manifestación de personas,COLFECAR,"213",36267.4777805523,"90090","9009","0",0,"90",0,"13",Transversal del Caribe,Río Palomino - Riohacha,"2",,89.987311750988,3. Bogotá-B/quilla
"39",CÓRDOBA,CHINU,PDT,PLANETA RICA - SINCELEJO,2023/08/15,-75.405694,9.098307,Manifestación de personas,COLFECAR,"488",7398.91897839394,"251452","2514","52",0,"114",0,"11",Troncal de Occidente,La Ye - Sincelejo,"2",,88.8096714003132,2. Cali-Medellín-Cartagena
"40",NORTE DE SANTANDER,EL AVENTINO,PDT,BUCARAMANGA - PAMPLONA,2023/08/16,-72.909327,7.144442,Manifestación de personas,COLFECAR,"241",6836.81883007895,"66033","6603","3",400,"70",0,"22",Transversal Tribuga - Arauca,Bucaramanga - Cuestaboba,"2",,70.1184702611926,4. Bogotá-Cúcuta
"41",ANTIOQUIA,LA QUESERA - VALDIVIA,MAL ESTADO DE LA VIA,VALDIVIA - TARAZA,2023/08/16,-75.445742,7.160454,Manifestación de personas,COLFECAR,"159",6591.19954060384,"25110","2511","0",0,"124",705,"01",Troncal de Occidente,Los Llanos - Tarazá,"1",,124.20462403312,2. Cali-Medellín-Cartagena
"42",ANTIOQUIA,LA QUESERA - VALDIVIA,MAL ESTADO DE LA VIA,VALDIVIA - TARAZA,2023/08/17,-75.460709,7.136259,Manifestación de personas,COLFECAR,"159",9575.12834771172,"25110","2511","0",0,"124",705,"01",Troncal de Occidente,Los Llanos - Tarazá,"1",,124.20462403312,2. Cali-Medellín-Cartagena
"43",BOLIVAR,ARJONA - CARTAGENA,PDT,TURBACO,2023/08/19,-75.419127,10.339135,Manifestación de personas,COLFECAR,"484",11797.4487393907,"900559","9005","59",180,"99",500,"03",Transversal del Caribe,Cruz del Viso - Cartagena,"2",,67.948846500234,2. Cali-Medellín-Cartagena
"44",BOLIVAR,CARTAGENA - BARRANQUILLA,PDT,PEAJE MARAHUCO,2023/08/21,-75.4732,10.505074,Manifestación de personas,COLFECAR,"428",13522.7236725321,90A010,90A01,"0",0,"47",82,"03",Transversal del Caribe,Cartagena - Lomita Arena,"2",,58.6729104454493,3. Bogotá-B/quilla
"45",NARIÑO,RICAURTE,PDT,PASTO - TUMACO,2023/08/21,-77.99894,1.214819,Manifestación de personas,COLFECAR,"553",14243.5953263358,"10020","1002","0",0,"95",0,"17",Transversal Tumaco - Leticia,Junín - Tuquerres,"1",,94.2183986661445,1. Bogotá-B/ventura-Ipiales
"46",CÓRDOBA,VARIANTE CERETE,SOLICITAN REDUCTORES DE VELOCIDAD,VARIANTE DE CERETE,2023/08/22,-75.780196,8.873147,Manifestación de personas,COLFECAR,"489",14537.3876321584,"74020","7402","0",0,"35",0,"11",Transversal Puerto rey - Tibú,Cereté - Cruce Ruta 25 (La Ye),"2",,55.9703245329154,
"47",CUNDINAMARCA,GUAYABETAL,SOLUCIONES DEFINITIVAS CIERRE DE VIA,BOGOTA - VILLAVICENCIO,2023/08/23,-74.086967,4.465403,Manifestación de personas,COLFECAR,"297",30468.6087888104,"40060","4006","0",0,"86",55,"12",Transversal Buenaventura - Villavicencio - Puerto Carreño,Bogotá (El Portal) - Villavicencio,"2",,93.7824205324289,6. Bogotá-Yopal
"48",SANTANDER,CERRITO,PDT,MÁLAGA - PAMPLONA,2023/08/23,-72.696556,6.825219,Manifestación de personas,COLFECAR,"46",6534.03923130556,"55040","5504","0",0,"102",210,"22",Troncal Central del Norte,La Palmera - Presidente,"1",,100.97725965967,4. Bogotá-Cúcuta
"49",SANTANDER,CERRITO,PDT,MÁLAGA - PAMPLONA,2023/08/24,-72.692556,6.840941,Manifestación de personas,COLFECAR,"46",8260.73007110388,"55040","5504","0",0,"102",210,"22",Troncal Central del Norte,La Palmera - Presidente,"1",,100.97725965967,4. Bogotá-Cúcuta
"50",BOLIVAR,SN BASILIO DE PALENQUE,PDT,CARRETO - CRUZ DEL VISO,2023/08/24,-75.191955,10.13672,Manifestación de personas,COLFECAR,"132",5204.09765387238,25BL020,25BL02,"0",0,"25",93,"03",Acceso a Cartagena,Carreto - Cruz del Viso,"2",,25.2127961611433,2. Cali-Medellín-Cartagena
"51",CUNDINAMARCA,GUACAPATE,IGUALDAD EN EL PMT,BOGOTA - VILLAVICENCIO,2023/08/24,-74.057343,4.451753,Manifestación de personas,COLFECAR,"297",26945.9150059622,"40060","4006","0",0,"86",55,"12",Transversal Buenaventura - Villavicencio - Puerto Carreño,Bogotá (El Portal) - Villavicencio,"2",,93.7824205324289,6. Bogotá-Yopal
"52",CESAR,LAS VEGAS,PDT,LA MATA - SAN ROQUE,2023/08/24,-73.65997,8.681621,Manifestación de personas,COLFECAR,"202",30267.2951740976,"45150","4515","0",0,"87",787,"09",Troncal del Magdalena,La Mata - San Roque,"1",,127.501233980747,3. Bogotá-B/quilla
"53",LA GUAJIRA,MAYAPO,INCUMPLIMIENTOS COMUNIDADES,RIOHACHA - MAICAO,2023/08/24,-72.582209,11.453581,Manifestación de personas,COLFECAR,"125",7867.49956455991,"90100","9010","0",0,"88",0,"13",Transversal del Caribe,Riohacha - Paraguachón,"2",,87.5749326388281,3. Bogotá-B/quilla
"54",CESAR,LAS VEGAS,PDT,LA MATA - SAN ROQUE,2023/08/25,-73.664754,8.69188,Manifestación de personas,COLFECAR,"202",29290.3678717555,"45150","4515","0",0,"87",787,"09",Troncal del Magdalena,La Mata - San Roque,"1",,127.501233980747,3. Bogotá-B/quilla
"55",LA GUAJIRA,MAYAPO,PDT,RIOHACHA - MAICAO,2023/08/25,-72.783163,11.508636,Manifestación de personas,COLFECAR,"125",30512.0494541318,"90100","9010","0",0,"88",0,"13",Transversal del Caribe,Riohacha - Paraguachón,"2",,87.5749326388281,3. Bogotá-B/quilla
"56",META,PEAJE PTE AMARILLO,PAGOS A TRABAJADORES CONCESIONES,VILLAVICENCION - BARRANCA DE UPIA,2023/08/28,-73.577208,4.240863,Manifestación de personas,COLFECAR,"271",34208.0329232396,"65105","6510","0",0,"107",600,"16",Troncal Villagarzon - Saravena,Villavicencio - Barranca de Upía,"2",,106.915819381677,6. Bogotá-Yopal
"57",SANTANDER,CAMPO VEINTITRES,FALTA DE PROFESORES HE INSTALACIONES ,RIO ERMITAÑO - LA LIZAMA,2023/08/28,-74.563859,6.180677,Manifestación de personas,COLFECAR,"8",36564.979682991,"451033","4510","34",0,"134",470,"24",Troncal del Magdalena,Puerto Salgar - Río Ermitaño,"1",,187.622087753905,3. Bogotá-B/quilla
"58",META,VILLAVICENCIO KM85,SOLUCIONES DEFINITIVAS Y PMT,BOGOTA - VILLAVICENCIO,2023/08/28,-73.937753,4.411381,Manifestación de personas,COLFECAR,"297",14608.4406590499,"40060","4006","0",0,"86",55,"12",Transversal Buenaventura - Villavicencio - Puerto Carreño,Bogotá (El Portal) - Villavicencio,"2",,93.7824205324289,6. Bogotá-Yopal
"59",CÓRDOBA,LORICA,FALTA SERVICIO DE AGUA,LORICA - SAN ONOFRE,2023/08/28,-75.823288,9.26768,Manifestación de personas,COLFECAR,"403",1078.53003009361,"90040","9004","0",0,"5",850,"11",Transversal del Caribe,Paso Nacional por Loríca,"1",,5.75980077258066,2. Cali-Medellín-Cartagena
"60",BOLIVAR,CARRETO,FALTA DE TRANSPORTE ESCOLAR,CARMEN DE BOLIVAR - CALAMAR,2023/08/28,-75.05219,10.114823,Manifestación de personas,COLFECAR,"601",8412.68652758498,"2515108","2515","108",250,"138",695,"02",Troncal de Occidente,Carreto - Calamar,"2",,30.9341338485872,3. Bogotá-B/quilla
"61",CUNDINAMARCA,TUNEL BOQUERON,SOLUCIONES DEFINITIVAS Y PMT,BOGOTA - VILLAVICENCIO,2023/08/29,-73.88904,4.356779,Manifestación de personas,COLFECAR,"297",6761.32800261401,"40060","4006","0",0,"86",55,"12",Transversal Buenaventura - Villavicencio - Puerto Carreño,Bogotá (El Portal) - Villavicencio,"2",,93.7824205324289,6. Bogotá-Yopal
"62",CUNDINAMARCA,CAQUEZA,SOLUCIONES DEFINITIVAS Y PMT,BOGOTA - VILLAVICENCIO,2023/08/29,-73.949279,4.414811,Manifestación de personas,COLFECAR,"297",15634.399610739,"40060","4006","0",0,"86",55,"12",Transversal Buenaventura - Villavicencio - Puerto Carreño,Bogotá (El Portal) - Villavicencio,"2",,93.7824205324289,6. Bogotá-Yopal
"63",CUNDINAMARCA,CHIPAQUE,SOLUCIONES DEFINITIVAS Y PMT,BOGOTA - VILLAVICENCIO,2023/08/29,-74.041148,4.442776,Manifestación de personas,COLFECAR,"297",24924.7516970859,"40060","4006","0",0,"86",55,"12",Transversal Buenaventura - Villavicencio - Puerto Carreño,Bogotá (El Portal) - Villavicencio,"2",,93.7824205324289,6. Bogotá-Yopal
"64",META,PEAJE PTE AMARILLO,PAGOS A TRABAJADORES CONCESIONES,VILLAVICENCION - BARRANCA DE UPIA,2023/08/29,-73.582938,4.218502,Manifestación de personas,COLFECAR,"271",35840.9254423271,"65105","6510","0",0,"107",600,"16",Troncal Villagarzon - Saravena,Villavicencio - Barranca de Upía,"2",,106.915819381677,6. Bogotá-Yopal
"65",SUCRE,LA GALLERA,FALTA SERVICIO ENERGIA,SINCELEJO - PLANETA RICA,2023/08/30,-75.386704,9.139272,Manifestación de personas,COLFECAR,"488",12344.7395196432,"251452","2514","52",0,"114",0,"11",Troncal de Occidente,La Ye - Sincelejo,"2",,88.8096714003132,2. Cali-Medellín-Cartagena
"66",CÓRDOBA,MONTERIA,INCUMPLIMIENTOS GONIERNO,PUERTO REY - MONTERIA,2023/08/31,-76.317788,8.874446,Manifestación de personas,COLFECAR,"576",19225.5267007799,"74010","7401","0",0,"63",464,"11",Transversal Puerto rey - Tibú,Puerto Rey - Monteria,"2","74",64.169623805604,2. Cali-Medellín-Cartagena
"67",CÓRDOBA,KM 20,DERECHO A CONSULTA PREVIA,CERETE - LORICA,2023/08/31,-75.800541,8.896652,Manifestación de personas,COLFECAR,"430",474.922127926186,"21036","2103","6",942,"10",764,"11",Alternas a la Transversal del Caribe,Paso Nacional por Cereté,"1",,4.27521112187544,2. Cali-Medellín-Cartagena
"68",ANTIOQUIA,MULATOS,MAL ESTADO DE LA VIA NACIONAL,NECOCLI-ARBOLETES,2023/06/01,-76.7137515,8.6326647,Manifestación de personas,COLFECAR,"597",12105.4375088659,"90020","9002","0",0,"82",49,"01",Transversal del Caribe,Necoclí – Puerto Rey,"1","90",78.4420460920453,2. Cali-Medellín-Cartagena
"69",ANTIOQUIA,MINUTO DE DIOS,MAL ESTADO DE LA VIA NACIONAL,NECOCLI-ARBOLETES,2023/06/01,-76.7137515,8.6326647,Manifestación de personas,COLFECAR,"597",12105.4375088659,"90020","9002","0",0,"82",49,"01",Transversal del Caribe,Necoclí – Puerto Rey,"1","90",78.4420460920453,2. Cali-Medellín-Cartagena
"70",MAGDALENA,PLATO,FALTA DE SERVICIO DE ENERGIA,PLATO - EL DIFICIL,2023/06/01,-74.79992,9.7926134,Manifestación de personas,COLFECAR,"228",38161.4307406716,"80020","8002","0",0,"87",820,"15",Transversal Carmen - Bosconia - Valledupar - Maicao - Puerto Bolivar,Plato – Pueblo Nuevo,"2",,100.945433880378,3. Bogotá-B/quilla
"71",CORDOBA,MATEO GOMEZ,CONSTRUCCION DE REDUCTOR DE VEL,MONTERIA - LORICA,2023/06/01,-75.8252035,8.8450852,Manifestación de personas,COLFECAR,"442",1991.55340794747,"21030","2103","0",0,"6",942,"11",Alternas a la Transversal del Caribe,Montería - Cereté,"2",,15.7447250489393,2. Cali-Medellín-Cartagena
"72",VALLE DEL CAUCA,DAGUA,FALTA DE SERVICIO DE ENERGIA,CALI - LOBOGUERRERO,2023/06/01,-76.6890763,3.6588402,Manifestación de personas,COLFECAR,"247",7467.12014847392,"19018","1901","8",900,"60",850,"25",Acceso a Cali,Cali - Cruce Ruta 40 (Loboguerrero),"1",,51.3563435807446,1. Bogotá-B/ventura-Ipiales
"73",BOLIVAR,MAGANGUE,PDT,EL BONGO - LA BODEGA,2023/06/01,-74.7571408,9.2446944,Manifestación de personas,COLFECAR,"522",26648.1340485374,"78020","7802","0",0,"68",350,"03",Transversal Depresion Momposina,Puerta de Hierro - Magangué - Yatí,"1",,69.643594318975,
"74",ANTIOQUIA,COPACABANA,FILTRACCION DE AGUAS DE LA VIA,MEDELLIN - SANTUARIO,2023/06/02,-75.5013443,6.3541234,Manifestación de personas,COLFECAR,"497",10372.4873714169,"25100","2510","0",0,"52",474,"01",Troncal de Occidente,Medellìn - Hoyo Rico,"3",,79.8199749677238,2. Cali-Medellín-Cartagena
"75",VALLE DEL CAUCA,DAGUA,FALTA DE SERVICIO DE ENERGIA,CALI - LOBOGUERRERO,2023/06/02,-76.6873052,3.6556743,Manifestación de personas,COLFECAR,"247",7087.26971659423,"19018","1901","8",900,"60",850,"25",Acceso a Cali,Cali - Cruce Ruta 40 (Loboguerrero),"1",,51.3563435807446,1. Bogotá-B/ventura-Ipiales
"76",MAGDALENA,CIENAGA,PAGO DE SALARIO FUNCIONARIOS ALCALDIA,BARRANQUILLA - SANTA MARTA,2023/06/02,-74.2433697,11.0056852,Manifestación de personas,COLFECAR,"89",24934.9953264039,"90071","9007","1",1794,"94",785,"15",Transversal del Caribe,Barranquilla - Santa Marta,"3",,129.570996211699,
"77",ATLANTICO,GALAPA,FALTA DE SERVICIO DE AGUA,BARRANQUILLA - CARTAGENA,2023/06/03,-74.8830719,10.899345,Manifestación de personas,COLFECAR,"485",21290.6400110215,"90060","9006","39",0,"117",103,"02",Alternas a la Transversal del Caribe,Pensales - Barranquilla,"2",,91.9002577913513,3. Bogotá-B/quilla
"78",LA GUAJIRA,GUAMACHITO,PDT,DISTRACCION - CUESTECITAS,2023/06/05,-74.149124,10.6902378,Manifestación de personas,COLFECAR,"88",11302.1328620685,"451846","4518","46",764,"98",0,"15",Troncal del Magdalena,Paso Nacional por Aracataca - Ye de Ciénaga,"2",,51.2294244222395,3. Bogotá-B/quilla
"79",MAGDALENA,KM 47,CAMARAS DE FOTO MULTAS,FUNDACION - YE DE CIENAGA,2023/06/05,-74.2155012,11.0042159,Manifestación de personas,COLFECAR,"116",599.732171376904,"451898","4518","98",0,"100",289,"15",Troncal del Magdalena,Ye de Ciénaga (Lado Manantial) - Intersección Ruta 90,"1",,2.22404275784671,3. Bogotá-B/quilla
"80",VALLE DEL CAUCA,GUACARI,DESPIDOS PERSONAL DEL HOSPITAL,CERRITOS GUACARI,2023/06/05,-76.326698,3.7637718,Manifestación de personas,COLFECAR,"512",5048.29199574408,"250525","2505","25",0,"67",0,"25",Troncal de Occidente,Palmira - Buga,"2",,80.0960409548699,1. Bogotá-B/ventura-Ipiales
"81",VALLE DEL CAUCA,EL GALLINERO,AMPLIACION DE COBERTURA ESCOLAR,BUGA - BUENAVENTURA,2023/06/05,-76.9557926,3.8861439,Manifestación de personas,COLFECAR,"463",1393.84476380187,"400115","4001","15",0,"19",800,"25",Transversal Buenaventura - Villavicencio - Puerto Carreño,Intersección Citronela - Córdoba,"1",,6.06277883768138,1. Bogotá-B/ventura-Ipiales
"82",MAGDALENA,PTE RIO FRIO,CAMARAS DE FOTO MULTAS,FUNDACION - YE DE CIENAGA,2023/06/05,-74.2162452,11.0038145,Manifestación de personas,COLFECAR,"196",764.303355154428,45MG020,45MG02,"0",0,"2",60,"15",Troncal del Magdalena,Variante de Ye de Ciénaga,"2",,2.10482442679651,
