ID,DEPARTAMENTO,REFERENCIA,DESCRIPCION,VIA AFECTADA,FECHA,LONG,LAT,EVENTO,FUENTE,HubName,HubDist,cod_tramo,codigo_via,pr_inicial,dist_ini,pr_finl,dist_fin,territoria,tramo,sector,administra,ruta,length_km,corrlog
"9688",TOLIMA,Túnel Sumapaz,(Aplica sentido Girardot - Bogotá) Se realizará entre los días martes 24 y miércoles 25 de noviembre el cierre nocturno que estaba programado para el 11 de noviembre no se llevará a cabo y se aplazará para continuar realizando el mantenimiento correctivo del túnel Sumapaz.,Girardot - Bogotá,2020/11/25,-74.566735943,4.26425620800001,Mantenimiento vial,Concesión Vía 40 Express,"273",5176.08156070718,"40050","4005","0",211,"62",980,"12",Transversal Buenaventura - Villavicencio - Puerto Carreño,Girardot - Fusagasugá,"2",,111.43698919418,1. Bogotá-B/ventura-Ipiales
"9689",TOLIMA,Sin referencia,(Aplica en ambos sentidos) Se realizan cierres las 24 horas en intervalos de 5 a 70 minutos y labores desde las 06:00 a 22:00 horas.,Ibagué - Coello,2020/11/12,-75.291080887,4.40034228799999,Mantenimiento vial,DITRA,"269",3352.78861852036,"400350","4003","50",365,"80",194,"24",Transversal Buenaventura - Villavicencio - Puerto Carreño,Cajamarca - Puente Cajamarca - Ibagué,"2",,20.5972760905053,1. Bogotá-B/ventura-Ipiales
"9690",TOLIMA,Sin referencia,"En la vía Variante Espinal, km 0 y 4+120, aplica en ambos sentidos. Etapa 1: Día 13 de abril desde las 08:30 hasta las 14:30 horas. Rutas alternas: 1. Saldaña - Purificación - Alpujarra -Delicias - Baraya - Tello - Neiva. 2. Ibagué – Rovira – San Luis – Guamo. Los vehículos que se dirigen de Neiva hacia Aipe y viceversa, podrán utilizar la calzada sentido Neiva – Aipe, para desplazarse en ambos sentidos (contraflujo). Resolución 01213 del 13 de abril de 2023.",Variante Espinal,2023/04/13,-74.912479092,4.14744786599999,Evento Deportivo,LIGAS DE CICLISMO DEL HUILA Y TOLIMA.,"94",14.4037518343374,45TLB0,45TLB,"0",0,"4",120,"24",Alternas a la Troncal del Magdalena,Variante Espinal,"2",,4.12936131560669,
"9691",TOLIMA,Puente Blanco a Cruce Ruta 45,"(Aplica en ambos sentidos)**ETAPA 1**. La Resolución 00714 del 16 de marzo de 2021, Autoriza el cierre total de unos sectores de la Red Vial Nacional, para la realización del evento deportivo denominado
“XIX VUELTA AL TOLIMA Y VI VUELTA AL TOLIMA FEMENINA 2021”. La ETAPA 1 se llevará a cabo el jueves 18 de marzo de 2021 de 07:30 AM a 01:10 PM.",Ibagué  - Espinal,2021/03/18,-74.9806085,4.22227177100001,Evento Deportivo,LIGA DE CICLISMO DEL TOLIMA,"274",7901.5814470434,4004B0,4004B,"0",0,"23",800,"24",Transversal Buenaventura - Villavicencio - Puerto Carreño,Variante Chicoral,"2",,51.4644685346992,1. Bogotá-B/ventura-Ipiales
"9692",TOLIMA,Todo el tramo vial,"Vía Lérida - Mariquita, Restricción de carga, para vehículos con capacidad igual o superior a 3.4 toneladas. Puente festivo Día de San Pedro y San Pablo. Sábado 03 julio 2021 desde las 06:00 hasta las 14:00 horas, aplica en ambos sentidos. Domingo 04 julio 2021 no aplica restricción de carga. Lunes 05 julio 2021 desde las 10:00 a 23:00 horas, aplica en ambos sentidos. Link de consulta: https://bit.ly/365uUzE",Lérida - Mariquita,2021/07/03,-74.880925214,5.07871941399998,Restricción de carga,Ministerio de Transporte,"479",31962.0795095156,"43050","4305","0",0,"105",193,"24",Alternas a la Troncal del Magdalena,Ibagué - Mariquita,"2",,105.607940039613,
"9693",TOLIMA,Todo el tramo vial,"Vía Fresno - Manizales, Restricción de carga, para vehículos con capacidad igual o superior a 3.4 toneladas. Puente festivo Día de San Pedro y San Pablo. Sábado 03 julio 2021 desde las 06:00 hasta las 14:00 horas, aplica en ambos sentidos. Domingo 04 julio 2021 no aplica restricción de carga. Lunes 05 julio 2021 desde las 10:00 a 23:00 horas, aplica en ambos sentidos. Link de consulta: https://bit.ly/365uUzE",Fresno - Manizales,2021/07/03,-75.234547651,5.10026347100001,Restricción de carga,Ministerio de Transporte,"92",2535.18264576903,"50060","5006","0",0,"82",1000,"05",Transversal Las Animas - Bogotá,Puente La Libertad - Fresno,"1",,82.2876187734807,2. Cali-Medellín-Cartagena
"9694",TOLIMA,Variante de Melgar,"Vía Girardot - Bogotá por alto flujo vehicular en sector La Variante de Melgar en km 29. La Variante de Melgar cambia de sentido a Girardot - Bogotá empieza desde  Puente Rio Sumapaz en el km 29 hasta la Colorada. La Ruta alterna Los vehículos provenientes de Bogotá y que tengan destino Ibagué o municipios del Tolima, ingresaran al municipio de Melgar por el km 0+100 a la vía nacional.",Girardot - Bogotá,2021/06/07,-74.647915089,4.20741332400002,Alto flujo vehicular,DITRA,"272",1652.04244333172,40TLE0,40TLE,"0",0,"4",338,"12",Transversal Buenaventura - Villavicencio - Puerto Carreño,Variante Melgar,"2",,8.17258673292598,
"9695",TOLIMA,Todo el tramo vial,"(Aplica en ambos sentidos)- ETAPA 8 - *La Resolución 00975 del 15 de abril de 2021: Autoriza el cierre total de unos sectores de la Red Vial Nacional, para la realización del evento deportivo
denominado “VUELTA COLOMBIA 2021”.La Etapa 8 se llevará a cabo el viernes 23 de abril de 2021 de 08:00 am a 01:30 pm.",Fresno - Mariquita,2021/04/23,-75.005369084,5.16984207399997,Evento Deportivo,FEDERACIÓN COLOMBIANA DE CICLISMO,"198",4721.30632454124,"50070","5007","0",0,"26",695,"24",Transversal Las Animas - Bogotá,Fresno - Mariquita,"1",,26.0369401522311,2. Cali-Medellín-Cartagena
"9696",TOLIMA,Todo el tramo vial,"(Aplica en ambos sentidos)- ETAPA 8 - *La Resolución 00975 del 15 de abril de 2021: Autoriza el cierre total de unos sectores de la Red Vial Nacional, para la realización del evento deportivo
denominado “VUELTA COLOMBIA 2021”.",Puente La Libertad – Fresno,2021/04/23,-75.262555082,5.10815857900002,Evento Deportivo,FEDERACIÓN COLOMBIANA DE CICLISMO,"92",2528.28207380439,"50060","5006","0",0,"82",1000,"05",Transversal Las Animas - Bogotá,Puente La Libertad - Fresno,"1",,82.2876187734807,2. Cali-Medellín-Cartagena
"9697",TOLIMA,Túnel Carpintero Real,"En la vía Calarcá - Cajamarca, sector Túnel Carpintero Real, aplica en sentido calarcá - Cajamarca. No hay ruta alterna.",Calarcá - Cajamarca,2022/11/06,-75.552821145,4.47244714999999,Accidente,DITRA,"610",1840.50323836594,4003A,4003A,"5",0,"36",92,"20",Tramo alterno,Calarcá - Cajamarca,"1","40",31.2940740517854,1. Bogotá-B/ventura-Ipiales
